PO_ID,PO_Number,PO_Date,Vendor_Name,Funding_Source,District_ID,District_Name,BOCES_Region
91000040,PO-769785,2025-10-11,Connection,E-Rate,2102,Southern_CSD_2102,Southern Westchester BOCES
91000041,PO-422415,2021-01-04,CDW-G,E-Rate,2103,Southern_CSD_2103,Southern Westchester BOCES
91000042,PO-147127,2021-04-13,SHI,General Fund,2103,Southern_CSD_2103,Southern Westchester BOCES
91000043,PO-321746,2021-07-03,CDW-G,E-Rate,2103,Southern_CSD_2103,Southern Westchester BOCES
91000044,PO-688990,2021-10-02,CDW-G,Federal Program,2103,Southern_CSD_2103,Southern Westchester BOCES
91000045,PO-793035,2022-01-22,CDW-G,General Fund,2103,Southern_CSD_2103,Southern Westchester BOCES
91000046,PO-998453,2022-04-10,Connection,Federal Program,2103,Southern_CSD_2103,Southern Westchester BOCES
91000047,PO-820841,2022-07-17,SHI,General Fund,2103,Southern_CSD_2103,Southern Westchester BOCES
91000048,PO-810561,2022-10-08,CDW-G,E-Rate,2103,Southern_CSD_2103,Southern Westchester BOCES
91000049,PO-438959,2023-01-09,Ingram Micro,General Fund,2103,Southern_CSD_2103,Southern Westchester BOCES
91000050,PO-694664,2023-04-17,SHI,General Fund,2103,Southern_CSD_2103,Southern Westchester BOCES
91000051,PO-599794,2023-07-17,CDW-G,Federal Program,2103,Southern_CSD_2103,Southern Westchester BOCES
91000052,PO-302273,2023-10-10,SHI,Federal Program,2103,Southern_CSD_2103,Southern Westchester BOCES
91000053,PO-762888,2024-01-09,CDW-G,Federal Program,2103,Southern_CSD_2103,Southern Westchester BOCES
91000054,PO-962471,2024-04-24,CDW-G,General Fund,2103,Southern_CSD_2103,Southern Westchester BOCES
91000055,PO-538646,2024-07-02,Ingram Micro,General Fund,2103,Southern_CSD_2103,Southern Westchester BOCES
91000056,PO-702746,2024-10-20,SHI,Grant,2103,Southern_CSD_2103,Southern Westchester BOCES
91000057,PO-980747,2025-01-06,SHI,Federal Program,2103,Southern_CSD_2103,Southern Westchester BOCES
91000058,PO-956771,2025-04-09,SHI,Grant,2103,Southern_CSD_2103,Southern Westchester BOCES
91000059,PO-125487,2025-07-03,CDW-G,Grant,2103,Southern_CSD_2103,Southern Westchester BOCES
91000060,PO-167720,2025-10-03,CDW-G,General Fund,2103,Southern_CSD_2103,Southern Westchester BOCES
91000061,PO-282380,2021-01-24,SHI,Federal Program,2104,Southern_CSD_2104,Southern Westchester BOCES
91000062,PO-183651,2021-04-09,CDW-G,General Fund,2104,Southern_CSD_2104,Southern Westchester BOCES
91000063,PO-390613,2021-07-19,CDW-G,General Fund,2104,Southern_CSD_2104,Southern Westchester BOCES
91000064,PO-316073,2021-10-25,Connection,E-Rate,2104,Southern_CSD_2104,Southern Westchester BOCES
91000065,PO-479739,2022-01-15,Ingram Micro,Grant,2104,Southern_CSD_2104,Southern Westchester BOCES
91000066,PO-456567,2022-04-10,SHI,General Fund,2104,Southern_CSD_2104,Southern Westchester BOCES
91000067,PO-490419,2022-07-21,CDW-G,Grant,2104,Southern_CSD_2104,Southern Westchester BOCES
91000068,PO-980556,2022-10-08,CDW-G,E-Rate,2104,Southern_CSD_2104,Southern Westchester BOCES
91000069,PO-832938,2023-01-04,Ingram Micro,General Fund,2104,Southern_CSD_2104,Southern Westchester BOCES
91000070,PO-697177,2023-04-06,Connection,General Fund,2104,Southern_CSD_2104,Southern Westchester BOCES
91000071,PO-265960,2023-07-02,SHI,Federal Program,2104,Southern_CSD_2104,Southern Westchester BOCES
91000072,PO-419337,2023-10-03,Connection,General Fund,2104,Southern_CSD_2104,Southern Westchester BOCES
91000073,PO-327019,2024-01-23,Ingram Micro,General Fund,2104,Southern_CSD_2104,Southern Westchester BOCES
91000074,PO-526293,2024-04-21,Ingram Micro,E-Rate,2104,Southern_CSD_2104,Southern Westchester BOCES
91000075,PO-804782,2024-07-21,Ingram Micro,General Fund,2104,Southern_CSD_2104,Southern Westchester BOCES
91000076,PO-224433,2024-10-18,Apple Education,General Fund,2104,Southern_CSD_2104,Southern Westchester BOCES
91000077,PO-356784,2025-01-12,CDW-G,General Fund,2104,Southern_CSD_2104,Southern Westchester BOCES
91000078,PO-735655,2025-04-08,Apple Education,Grant,2104,Southern_CSD_2104,Southern Westchester BOCES
91000079,PO-360370,2025-07-08,SHI,E-Rate,2104,Southern_CSD_2104,Southern Westchester BOCES
91000080,PO-581928,2025-10-18,CDW-G,General Fund,2104,Southern_CSD_2104,Southern Westchester BOCES
91000081,PO-142963,2021-01-03,CDW-G,E-Rate,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000082,PO-320782,2021-04-12,SHI,E-Rate,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000083,PO-282243,2021-07-24,Apple Education,General Fund,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000084,PO-843465,2021-10-10,SHI,General Fund,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000085,PO-749740,2022-01-13,Connection,General Fund,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000086,PO-235126,2022-04-13,SHI,General Fund,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000087,PO-354267,2022-07-11,CDW-G,General Fund,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000088,PO-499997,2022-10-18,Connection,General Fund,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000089,PO-533643,2023-01-21,SHI,General Fund,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000090,PO-386347,2023-04-21,CDW-G,General Fund,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000091,PO-524166,2023-07-21,SHI,E-Rate,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000092,PO-176151,2023-10-15,Apple Education,General Fund,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000093,PO-462481,2024-01-09,SHI,General Fund,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000094,PO-273929,2024-04-12,Connection,General Fund,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000095,PO-763401,2024-07-17,CDW-G,E-Rate,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000096,PO-872425,2024-10-22,CDW-G,E-Rate,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000097,PO-427591,2025-01-01,Connection,Grant,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000098,PO-476986,2025-04-04,SHI,Grant,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000099,PO-404735,2025-07-25,CDW-G,General Fund,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000100,PO-442026,2025-10-07,SHI,General Fund,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000101,PO-409717,2021-01-23,Apple Education,E-Rate,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000102,PO-138466,2021-04-06,Ingram Micro,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000103,PO-217540,2021-07-20,CDW-G,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000104,PO-331697,2021-10-22,CDW-G,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000105,PO-663389,2022-01-14,CDW-G,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000106,PO-695157,2022-04-15,SHI,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000107,PO-729848,2022-07-14,SHI,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000108,PO-460539,2022-10-17,Connection,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000109,PO-635690,2023-01-04,CDW-G,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000110,PO-746736,2023-04-03,CDW-G,Federal Program,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000111,PO-253651,2023-07-08,Connection,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000112,PO-902348,2023-10-09,Apple Education,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000113,PO-874433,2024-01-24,SHI,E-Rate,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000114,PO-815637,2024-04-07,Apple Education,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000115,PO-788795,2024-07-07,Connection,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000116,PO-683637,2024-10-02,CDW-G,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000117,PO-524088,2025-01-08,CDW-G,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000118,PO-302673,2025-04-12,CDW-G,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000119,PO-319646,2025-07-18,Ingram Micro,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000120,PO-132844,2025-10-05,SHI,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000121,PO-150396,2021-01-22,CDW-G,General Fund,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000122,PO-279853,2021-04-12,SHI,Grant,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000123,PO-306266,2021-07-04,Apple Education,General Fund,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000124,PO-329453,2021-10-14,CDW-G,General Fund,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000125,PO-987089,2022-01-19,SHI,Grant,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000126,PO-497100,2022-04-08,SHI,General Fund,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000127,PO-807651,2022-07-12,Connection,General Fund,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000128,PO-199670,2022-10-08,SHI,Grant,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000129,PO-771708,2023-01-20,Apple Education,General Fund,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000130,PO-359552,2023-04-03,Connection,Grant,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000131,PO-810169,2023-07-18,Ingram Micro,General Fund,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000132,PO-207027,2023-10-05,CDW-G,General Fund,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000133,PO-713715,2024-01-23,CDW-G,General Fund,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000134,PO-253737,2024-04-05,Connection,General Fund,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000135,PO-343536,2024-07-01,CDW-G,General Fund,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000136,PO-924126,2024-10-06,CDW-G,Federal Program,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000137,PO-842754,2025-01-11,Connection,Federal Program,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000138,PO-501793,2025-04-14,CDW-G,General Fund,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000139,PO-205323,2025-07-20,Apple Education,E-Rate,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000140,PO-652455,2025-10-15,Connection,General Fund,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000141,PO-673720,2021-01-01,SHI,General Fund,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000142,PO-879859,2021-04-19,SHI,Federal Program,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000143,PO-319475,2021-07-16,Ingram Micro,Grant,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000144,PO-488663,2021-10-09,Apple Education,General Fund,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000145,PO-293704,2022-01-02,Connection,General Fund,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000146,PO-529240,2022-04-12,SHI,E-Rate,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000147,PO-677988,2022-07-02,Connection,General Fund,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000148,PO-525808,2022-10-03,Connection,E-Rate,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000149,PO-406615,2023-01-08,SHI,Grant,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000150,PO-986205,2023-04-16,CDW-G,Grant,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000151,PO-449984,2023-07-16,Ingram Micro,General Fund,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000152,PO-291316,2023-10-15,CDW-G,General Fund,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000153,PO-325528,2024-01-14,CDW-G,E-Rate,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000154,PO-948170,2024-04-24,Connection,E-Rate,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000155,PO-796010,2024-07-03,Ingram Micro,General Fund,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000156,PO-376096,2024-10-23,CDW-G,E-Rate,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000157,PO-172258,2025-01-02,Ingram Micro,E-Rate,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000158,PO-188168,2025-04-09,CDW-G,Federal Program,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000159,PO-465263,2025-07-24,SHI,General Fund,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000160,PO-965930,2025-10-05,CDW-G,General Fund,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000161,PO-228875,2021-01-07,CDW-G,E-Rate,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000162,PO-716453,2021-04-09,CDW-G,General Fund,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000163,PO-933704,2021-07-02,CDW-G,General Fund,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000164,PO-170940,2021-10-16,Ingram Micro,General Fund,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000165,PO-969989,2022-01-01,Connection,General Fund,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000166,PO-322348,2022-04-10,CDW-G,E-Rate,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000167,PO-808480,2022-07-25,CDW-G,Federal Program,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000168,PO-834866,2022-10-02,Connection,General Fund,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000169,PO-822343,2023-01-10,Apple Education,General Fund,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000170,PO-830979,2023-04-01,Ingram Micro,General Fund,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000171,PO-390828,2023-07-20,Ingram Micro,General Fund,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000172,PO-835906,2023-10-16,Apple Education,General Fund,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000173,PO-352114,2024-01-05,SHI,General Fund,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000174,PO-749327,2024-04-14,Ingram Micro,General Fund,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000175,PO-710821,2024-07-22,CDW-G,Federal Program,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000176,PO-456638,2024-10-12,Ingram Micro,E-Rate,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000177,PO-569082,2025-01-04,CDW-G,Grant,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000178,PO-223100,2025-04-10,SHI,E-Rate,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000179,PO-689024,2025-07-08,Apple Education,Grant,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000180,PO-433617,2025-10-05,Ingram Micro,E-Rate,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000181,PO-382020,2021-01-20,Ingram Micro,General Fund,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000182,PO-518416,2021-04-15,CDW-G,E-Rate,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000183,PO-243397,2021-07-10,CDW-G,General Fund,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000184,PO-772086,2021-10-05,Connection,General Fund,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000185,PO-547439,2022-01-02,Ingram Micro,Grant,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000186,PO-608369,2022-04-16,SHI,General Fund,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000187,PO-365478,2022-07-20,Connection,E-Rate,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000188,PO-256279,2022-10-21,Connection,Grant,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000189,PO-877300,2023-01-06,Connection,General Fund,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000190,PO-108457,2023-04-24,Connection,General Fund,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000191,PO-308381,2023-07-21,Apple Education,General Fund,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000192,PO-722188,2023-10-02,SHI,General Fund,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000193,PO-402572,2024-01-25,Connection,General Fund,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000194,PO-690558,2024-04-13,CDW-G,General Fund,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000195,PO-670707,2024-07-24,SHI,General Fund,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000196,PO-944144,2024-10-17,SHI,General Fund,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000197,PO-608404,2025-01-23,CDW-G,General Fund,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000198,PO-562426,2025-04-12,SHI,Federal Program,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000199,PO-909596,2025-07-22,SHI,E-Rate,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000200,PO-110282,2025-10-14,CDW-G,E-Rate,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000201,PO-824576,2021-01-06,SHI,E-Rate,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000202,PO-179257,2021-04-20,Apple Education,General Fund,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000203,PO-676193,2021-07-06,SHI,General Fund,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000204,PO-300362,2021-10-15,Connection,General Fund,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000205,PO-320714,2022-01-02,CDW-G,Federal Program,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000206,PO-623913,2022-04-04,CDW-G,General Fund,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000207,PO-726546,2022-07-23,Connection,General Fund,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000208,PO-416984,2022-10-18,Ingram Micro,General Fund,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000209,PO-637950,2023-01-15,SHI,Grant,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000210,PO-830729,2023-04-21,CDW-G,General Fund,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000211,PO-375781,2023-07-04,Ingram Micro,General Fund,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000212,PO-366264,2023-10-21,Connection,General Fund,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000213,PO-573981,2024-01-05,SHI,General Fund,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000214,PO-358299,2024-04-19,Connection,General Fund,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000215,PO-366765,2024-07-25,SHI,E-Rate,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000216,PO-515117,2024-10-19,CDW-G,E-Rate,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000217,PO-530589,2025-01-12,Connection,E-Rate,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000218,PO-376214,2025-04-19,CDW-G,General Fund,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000219,PO-864273,2025-07-25,CDW-G,General Fund,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000220,PO-884921,2025-10-25,CDW-G,E-Rate,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
91000221,PO-857377,2021-01-24,CDW-G,General Fund,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000222,PO-129353,2021-04-06,Apple Education,General Fund,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000223,PO-566108,2021-07-22,Ingram Micro,Federal Program,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000224,PO-492418,2021-10-09,Connection,Federal Program,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000225,PO-913685,2022-01-03,CDW-G,General Fund,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000226,PO-138837,2022-04-20,CDW-G,General Fund,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000227,PO-338404,2022-07-25,SHI,Federal Program,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000228,PO-991455,2022-10-06,CDW-G,General Fund,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000229,PO-853409,2023-01-14,Ingram Micro,General Fund,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000230,PO-996453,2023-04-14,SHI,Federal Program,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000231,PO-527524,2023-07-19,Ingram Micro,General Fund,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000232,PO-208710,2023-10-08,Connection,E-Rate,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000233,PO-330667,2024-01-20,SHI,General Fund,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000234,PO-427571,2024-04-11,Apple Education,General Fund,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000235,PO-744863,2024-07-18,SHI,General Fund,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000236,PO-208757,2024-10-10,CDW-G,Grant,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000237,PO-254462,2025-01-02,Connection,General Fund,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000238,PO-418121,2025-04-10,SHI,General Fund,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000239,PO-437493,2025-07-09,CDW-G,General Fund,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000240,PO-701789,2025-10-07,CDW-G,E-Rate,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000241,PO-280200,2021-01-13,Apple Education,General Fund,2113,Questar_CSD_2113,Questar III BOCES
91000242,PO-321809,2021-04-09,Connection,General Fund,2113,Questar_CSD_2113,Questar III BOCES
91000243,PO-292981,2021-07-06,CDW-G,Grant,2113,Questar_CSD_2113,Questar III BOCES
91000244,PO-910763,2021-10-12,Apple Education,General Fund,2113,Questar_CSD_2113,Questar III BOCES
